dateTime,usagekW,generationkW
2022-03-17 22:00:00,0.921346111,-0.009840833
2022-03-17 21:00:00,0.887141389,-0.009871111
2022-03-17 20:00:00,1.138831944,-0.009852500
2022-03-17 19:00:00,1.092309167,0.050196111
2022-03-17 18:00:00,1.113074444,0.681901389
2022-03-17 17:00:00,1.074755278,2.250236111
2022-03-17 16:00:00,0.828010833,1.395312500
2022-03-17 15:00:00,1.025898889,1.224923333
2022-03-17 14:00:00,1.029030556,1.478584722
2022-03-17 13:00:00,1.376857778,0.900842778
2022-03-17 12:00:00,1.116280556,1.319994722
2022-03-17 11:00:00,1.354914167,1.377317222
2022-03-17 10:00:00,1.368852778,1.246290833
2022-03-17 09:00:00,2.023425833,0.851050556
2022-03-17 08:00:00,1.024251944,0.255310000
2022-03-17 07:00:00,0.715808056,-0.006571667
2022-03-17 06:00:00,0.505211944,-0.007251667
2022-03-17 05:00:00,0.512658889,-0.009665556
2022-03-17 04:00:00,0.517665000,-0.009654444
2022-03-17 03:00:00,0.642171389,-0.009671944
2022-03-17 02:00:00,0.490440556,-0.009675833
2022-03-17 01:00:00,0.829421389,-0.009747222
2022-03-17 00:00:00,0.971809444,-0.009843056
2022-03-16 23:00:00,0.803466944,-0.010003333
2022-03-16 22:00:00,0.905349444,-0.010204722
2022-03-16 21:00:00,1.216250278,-0.010191111
2022-03-16 20:00:00,1.112718889,-0.010166667
2022-03-16 19:00:00,1.056307222,0.049373056
2022-03-16 18:00:00,1.170035278,1.240324444
2022-03-16 17:00:00,2.248584167,3.630930278
2022-03-16 16:00:00,1.874846944,5.253435556
2022-03-16 15:00:00,1.030741944,6.307643333
2022-03-16 14:00:00,0.961026389,6.756440000
2022-03-16 13:00:00,1.984977500,6.659197778
2022-03-16 12:00:00,3.739210833,6.007365556
2022-03-16 11:00:00,1.156405000,5.046777222
2022-03-16 10:00:00,1.053949722,3.660397500
2022-03-16 09:00:00,1.301032778,1.858954167
2022-03-16 08:00:00,1.847252500,0.301287500
2022-03-16 07:00:00,1.763446667,-0.001285000
2022-03-16 06:00:00,0.770898889,-0.006975278
2022-03-16 05:00:00,0.691201944,-0.009032500
2022-03-16 04:00:00,0.735718611,-0.009580000
